,Series Name,Series Code
116,"Age population, age 24, male, interpolated",SP.POP.AG24.MA.IN
117,"Age population, age 25, female, interpolated",SP.POP.AG25.FE.IN
118,"Age population, age 25, male, interpolated",SP.POP.AG25.MA.IN
119,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS
120,Agricultural land (% of land area),AG.LND.AGRI.ZS
121,Agricultural land (sq. km),AG.LND.AGRI.K2
122,"Agricultural machinery, tractors",AG.AGR.TRAC.NO
123,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS
124,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS
125,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE
126,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS
127,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE
128,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN
129,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN
130,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS
131,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG
132,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD
133,"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN
134,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN
135,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD
136,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",NV.AGR.EMPL.KD
137,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1
138,"Air transport, passengers carried",IS.AIR.PSGR
139,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT
140,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS
141,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS
142,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS
143,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS
144,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS
145,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3
146,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",SI.SPR.PC40.ZG
147,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG
148,Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS
149,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS
150,Aquaculture production (metric tons),ER.FSH.AQUA.MT
151,Arable land (% of land area),AG.LND.ARBL.ZS
152,Arable land (hectares per person),AG.LND.ARBL.HA.PC
153,Arable land (hectares),AG.LND.ARBL.HA
154,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS
155,"Armed forces personnel, total",MS.MIL.TOTL.P1
156,Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD
157,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD
158,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5
159,Average precipitation in depth (mm per year),AG.LND.PRCP.MM
160,Average time to clear exports through customs (days),IC.CUS.DURS.EX
161,Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS
162,Average transaction cost of sending remittances to a specific country (%),SI.RMT.COST.IB.ZS
163,"Average working hours of children, study and work, ages 7-14 (hours per week)",SL.TLF.0714.SW.TM
164,"Average working hours of children, study and work, female, ages 7-14 (hours per week)",SL.TLF.0714.SW.FE.TM
165,"Average working hours of children, study and work, male, ages 7-14 (hours per week)",SL.TLF.0714.SW.MA.TM
166,"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM
167,"Average working hours of children, working only, female, ages 7-14 (hours per week)",SL.TLF.0714.WK.FE.TM
168,"Average working hours of children, working only, male, ages 7-14 (hours per week)",SL.TLF.0714.WK.MA.TM
169,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS
170,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS
171,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS
172,Battle-related deaths (number of people),VC.BTL.DETH
173,Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),per_si_allsi.ben_q1_tot
174,Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),per_allsp.ben_q1_tot
175,Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),per_sa_allsa.ben_q1_tot
176,Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),per_lm_alllm.ben_q1_tot
177,"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS
178,"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS
179,"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS
180,"Bird species, threatened",EN.BIR.THRD.NO
181,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN
182,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS
183,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3
184,"Bound rate, simple mean, all products (%)",TM.TAX.MRCH.BR.ZS
185,"Bound rate, simple mean, manufactured products (%)",TM.TAX.MANF.BR.ZS
186,"Bound rate, simple mean, primary products (%)",TM.TAX.TCOM.BR.ZS
187,Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS
188,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS
189,Broad money (current LCU),FM.LBL.BMNY.CN
190,Broad money growth (annual %),FM.LBL.BMNY.ZG
191,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS
192,Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ
193,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD
194,CO2 emissions (kg per 2017 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD
195,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD
196,CO2 emissions (kt),EN.ATM.CO2E.KT
197,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC
198,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS
199,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS
200,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT
201,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS
202,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT
203,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS
204,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS
205,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS
206,CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS
207,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT
208,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS
209,CO2 intensity (kg per kg of oil equivalent energy use),EN.ATM.CO2E.EG.ZS
210,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ
211,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ
212,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ
213,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ
214,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ
215,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ
216,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ
217,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ
218,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ
219,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ
220,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ
221,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ
222,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ
223,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ
224,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ
225,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ
226,CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ
227,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ
228,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ
229,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ
230,Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS
231,Capture fisheries production (metric tons),ER.FSH.CAPT.MT
232,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS
233,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS
234,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS
235,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS
236,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN
237,Cereal production (metric tons),AG.PRD.CREL.MT
238,Cereal yield (kg per hectare),AG.YLD.CREL.KG
239,Changes in inventories (constant LCU),NE.GDI.STKB.KN
240,Changes in inventories (current LCU),NE.GDI.STKB.CN
241,Changes in inventories (current US$),NE.GDI.STKB.CD
242,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD
243,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD
244,Chemicals (% of value added in manufacturing),NV.MNF.CHEM.ZS.UN
245,Child employment in agriculture (% of economically active children ages 7-14),SL.AGR.0714.ZS
246,"Child employment in agriculture, female (% of female economically active children ages 7-14)",SL.AGR.0714.FE.ZS
247,"Child employment in agriculture, male (% of male economically active children ages 7-14)",SL.AGR.0714.MA.ZS
248,Child employment in manufacturing (% of economically active children ages 7-14),SL.MNF.0714.ZS
249,"Child employment in manufacturing, female (% of female economically active children ages 7-14)",SL.MNF.0714.FE.ZS
250,"Child employment in manufacturing, male (% of male economically active children ages 7-14)",SL.MNF.0714.MA.ZS
251,Child employment in services (% of economically active children ages 7-14),SL.SRV.0714.ZS
252,"Child employment in services, female (% of female economically active children ages 7-14)",SL.SRV.0714.FE.ZS
253,"Child employment in services, male (% of male economically active children ages 7-14)",SL.SRV.0714.MA.ZS
254,Children (0-14) living with HIV,SH.HIV.0014
255,Children (ages 0-14) newly infected with HIV,SH.HIV.INCD.14
256,"Children in employment, female (% of female children ages 7-14)",SL.TLF.0714.FE.ZS
257,"Children in employment, male (% of male children ages 7-14)",SL.TLF.0714.MA.ZS
258,"Children in employment, self-employed (% of children in employment, ages 7-14)",SL.SLF.0714.ZS
259,"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",SL.SLF.0714.FE.ZS
260,"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",SL.SLF.0714.MA.ZS
261,"Children in employment, study and work (% of children in employment, ages 7-14)",SL.TLF.0714.SW.ZS
262,"Children in employment, study and work, female (% of female children in employment, ages 7-14)",SL.TLF.0714.SW.FE.ZS
263,"Children in employment, study and work, male (% of male children in employment, ages 7-14)",SL.TLF.0714.SW.MA.ZS
264,"Children in employment, total (% of children ages 7-14)",SL.TLF.0714.ZS
265,"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",SL.FAM.0714.ZS
266,"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)",SL.FAM.0714.FE.ZS
267,"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",SL.FAM.0714.MA.ZS
268,"Children in employment, wage workers (% of children in employment, ages 7-14)",SL.WAG.0714.ZS
269,"Children in employment, wage workers, female (% of female children in employment, ages 7-14)",SL.WAG.0714.FE.ZS
270,"Children in employment, wage workers, male (% of male children in employment, ages 7-14)",SL.WAG.0714.MA.ZS
271,"Children in employment, work only (% of children in employment, ages 7-14)",SL.TLF.0714.WK.ZS
272,"Children in employment, work only, female (% of female children in employment, ages 7-14)",SL.TLF.0714.WK.FE.ZS
273,"Children in employment, work only, male (% of male children in employment, ages 7-14)",SL.TLF.0714.WK.MA.ZS
274,Children orphaned by HIV/AIDS,SH.HIV.ORPH
275,Children out of school (% of primary school age),SE.PRM.UNER.ZS
276,"Children out of school, female (% of female primary school age)",SE.PRM.UNER.FE.ZS
277,"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS
278,"Children out of school, primary",SE.PRM.UNER
279,"Children out of school, primary, female",SE.PRM.UNER.FE
280,"Children out of school, primary, male",SE.PRM.UNER.MA
281,Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS
282,Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3
283,"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS
284,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS
285,Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3
286,Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3
287,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS
288,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS
289,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5
290,"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD
291,Commercial service exports (current US$),TX.VAL.SERV.CD.WT
292,Commercial service imports (current US$),TM.VAL.SERV.CD.WT
293,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS
294,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS
295,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3
296,Compensation of employees (% of expense),GC.XPN.COMP.ZS
297,Compensation of employees (current LCU),GC.XPN.COMP.CN
298,Completeness of birth registration (%),SP.REG.BRTH.ZS
299,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS
300,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS
301,"Completeness of birth registration, rural (%)",SP.REG.BRTH.RU.ZS
302,"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS
303,Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS
304,"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, female (2 prevent ways and reject 3 misconceptions)",SH.HIV.1524.KW.FE.ZS
305,"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, male (2 prevent ways and reject 3 misconceptions)",SH.HIV.1524.KW.MA.ZS
306,"Comprehensive correct knowledge of HIV/AIDS, ages 15-49, female (2 prevent ways and reject 3 misconceptions)",SH.HIV.KNOW.FE.ZS
307,"Comprehensive correct knowledge of HIV/AIDS, ages 15-49, male (2 prevent ways and reject 3 misconceptions)",SH.HIV.KNOW.MA.ZS
308,"Compulsory education, duration (years)",SE.COM.DURS
309,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT
310,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT
311,"Condom use at last high-risk sex, adult female (% ages 15-49)",SH.CON.AIDS.FE.ZS
312,"Condom use at last high-risk sex, adult male (% ages 15-49)",SH.CON.AIDS.MA.ZS
313,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS
314,"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS
315,Consumer price index (2010 = 100),FP.CPI.TOTL
316,Consumption of iodized salt (% of households),SN.ITK.SALT.ZS
317,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU
318,"Contraceptive prevalence, any method (% of all women ages 15-49)",SP.DYN.CONU.AL.ZS
319,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS
320,"Contraceptive prevalence, any method (% of sexually active unmarried women ages 15-49)",SP.DYN.CONU.SA.ZS
321,"Contraceptive prevalence, any modern method (% of all women ages 15-49)",SP.DYN.CONM.AL.ZS
322,"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS
323,"Contraceptive prevalence, any modern method (% of sexually active unmarried women ages 15-49)",SP.DYN.CONM.SA.ZS
324,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS
325,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS
326,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",SL.FAM.WORK.ZS
327,Control of Corruption: Estimate,CC.EST
328,Control of Corruption: Number of Sources,CC.NO.SRC
329,Control of Corruption: Percentile Rank,CC.PER.RNK
330,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER
331,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER
332,Control of Corruption: Standard Error,CC.STD.ERR
333,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS
334,"Cost of business start-up procedures, female (% of GNI per capita)",IC.REG.COST.PC.FE.ZS
335,"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS
336,"Cost to export, border compliance (US$)",IC.EXP.CSBC.CD
337,"Cost to export, documentary compliance (US$)",IC.EXP.CSDC.CD
338,"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD
339,"Cost to import, documentary compliance (US$)",IC.IMP.CSDC.CD
340,Coverage of social insurance programs (% of population),per_si_allsi.cov_pop_tot
341,Coverage of social insurance programs in 2nd quintile (% of population),per_si_allsi.cov_q2_tot
342,Coverage of social insurance programs in 3rd quintile (% of population),per_si_allsi.cov_q3_tot
343,Coverage of social insurance programs in 4th quintile (% of population),per_si_allsi.cov_q4_tot
344,Coverage of social insurance programs in poorest quintile (% of population),per_si_allsi.cov_q1_tot
345,Coverage of social insurance programs in richest quintile (% of population),per_si_allsi.cov_q5_tot
346,Coverage of social protection and labor programs (% of population),per_allsp.cov_pop_tot
347,Coverage of social safety net programs (% of population),per_sa_allsa.cov_pop_tot
