Category,Series Name,Series Code,Attribution
Poverty,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,0.026152199
Gender,"Age population, age 12, female, interpolated",SP.POP.AG12.FE.IN,0.025540134
Infrastructure,Mobile cellular subscriptions,IT.CEL.SETS,0.025477939
Infrastructure,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.024191424
Private Sector,Power outages in firms in a typical month (number),IC.ELC.OUTG,0.023777057
Environment,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,0.023614739
Health,"Number of deaths ages 15-19 years, female",SH.DTH.1519.FE,0.023481268
Gender,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,0.022223246
Private Sector,Firms experiencing losses due to theft and vandalism (% of firms),IC.FRM.THEV.ZS,0.021970118
Economy & Growth,General government final consumption expenditure (constant 2015 US$),NE.CON.GOVT.KD,0.021496753
Climate Change,Urban population (% of total population),SP.URB.TOTL.IN.ZS,0.020565807
Private Sector,Firms formally registered when operations started (% of firms),IC.FRM.FREG.ZS,0.020428082
Public Sector,Military expenditure (current USD),MS.MIL.XPND.CD,0.020003016
Gender,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",SE.PRM.CUAT.MA.ZS,0.019969773
Financial Sector,Lending interest rate (%),FR.INR.LEND,0.019895448
Gender,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,0.018598054
Social Development,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,0.017715402
Gender,"Population ages 65-69, male",SP.POP.6569.MA,0.017650841
Public Sector,Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100),IQ.SPI.PIL1,0.017633217
Health,"Incidence of HIV, ages 50+ (per 1,000 uninfected population ages 50+)",SH.HIV.INCD.50.P3,0.017628674
Environment,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",SH.STA.POIS.P5.MA,0.016844082
Public Sector,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,0.016549699
Gender,"Age population, age 15, male, interpolated",SP.POP.AG15.MA.IN,0.016363052
Education,Pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,SE.LPV.PRIM.LD,0.016295861
Health,"Prevalence of overweight, weight for height, female (% of children under 5)",SH.STA.OWGH.FE.ZS,0.016139511
Health,Exclusive breastfeeding (% of children under 6 months),SH.STA.BFED.ZS,0.016135166
Health,Intermittent preventive treatment (IPT) of malaria in pregnancy (% of pregnant women),SH.MLR.IPTP.ZS,0.015959763
Health,"Probability of dying among adolescents ages 15-19 years, male (per 1,000)",SH.DYN.1519.MA,0.015903721
Gender,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,0.015697112
Gender,"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,0.015635346
Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",SH.STA.STNT.ME.ZS,0.015097629
Environment,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0.014968424
Gender,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,0.01483429
Gender,"Age population, age 11, male, interpolated",SP.POP.AG11.MA.IN,0.014720492
Health,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,0.014555615
Education,"Primary education, teachers",SE.PRM.TCHR,0.014462626
Health,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,0.014242563
Environment,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.013778494
Gender,"Population ages 15-19, female",SP.POP.1519.FE,0.013665597
Gender,"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS,0.013380927
Health,"Immunization, measles second dose (% of children by the nationally recommended age)",SH.IMM.MEA2,0.013149404
Health,"Prevalence of stunting, height for age, female (% of children under 5)",SH.STA.STNT.FE.ZS,0.013045433
Gender,"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,0.012382624
Aid Effectiveness,"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,0.012361373
Health,"Prevalence of overweight, weight for height, male (% of children under 5)",SH.STA.OWGH.MA.ZS,0.012359668
Economy & Growth,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,0.012099397
Health,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),SH.STA.ORCF.ZS,0.012038707
Economy & Growth,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,0.011934849
Education,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,0.011886783
Private Sector,Time required to enforce a contract (days),IC.LGL.DURS,0.011615787
External Debt,"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,0.01149193
Energy & Mining,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,0.011364939
Health,"Probability of dying among children ages 5-9 years, male (per 1,000)",SH.DYN.0509.MA,0.011318962
Economy & Growth,Number of people pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.NOP1.TO,0.010982065
Gender,"Population ages 70-74, male",SP.POP.7074.MA,0.01094872
Economy & Growth,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,0.010779956
Economy & Growth,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,0.010703393
Gender,"Population ages 75-79, male",SP.POP.7579.MA,0.010583202
Gender,"Population ages 15-19, male",SP.POP.1519.MA,0.010451391
Gender,"Population ages 65-69, female",SP.POP.6569.FE,0.010329041
Health,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,0.009984383
Economy & Growth,"Services, value added (constant LCU)",NV.SRV.TOTL.KN,0.009971272
Public Sector,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,0.009906136
Economy & Growth,Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,0.009857058
Economy & Growth,Financial intermediary services indirectly Measured (FISIM) (current LCU),NV.FSM.TOTL.CN,0.009599936
Social Development,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,0.009541139
Education,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,0.00931839
Gender,"Population ages 20-24, male",SP.POP.2024.MA,0.009295429
External Debt,"IMF repurchases and charges (TDS, current US$)",DT.TDS.DIMF.CD,0.009235164
Economy & Growth,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,0.009151571
Public Sector,Statistical performance indicators (SPI): Overall score (scale 0-100),IQ.SPI.OVRL,0.009146223
Environment,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,0.008901225
Gender,"Population ages 55-59, male",SP.POP.5559.MA,0.008881533
Health,"Number of deaths ages 10-14 years, male",SH.DTH.1014.MA,0.008721769
Gender,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,0.008555908
Social Development,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,0.008549359
Gender,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,0.008218797
Gender,"Population ages 45-49, male",SP.POP.4549.MA,0.008206375
Economy & Growth,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,0.008195598
Health,"Prevalence of severe wasting, weight for height, male (% of children under 5)",SH.SVR.WAST.MA.ZS,0.008194222
Health,"Prevalence of severe wasting, weight for height (% of children under 5)",SH.SVR.WAST.ZS,0.008026512
Gender,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS,0.007933781
Energy & Mining,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,0.007724191
External Debt,"Net financial flows, RDB concessional (NFL, current US$)",DT.NFL.RDBC.CD,0.00770877
Private Sector,Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS,0.00758608
Aid Effectiveness,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.00753841
Gender,"Population ages 20-24, female",SP.POP.2024.FE,0.007532823
Environment,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0.007420973
Private Sector,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,0.007246813
Aid Effectiveness,"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,0.007188333
Health,AIDS estimated deaths (UNAIDS estimates),SH.DYN.AIDS.DH,0.007133608
Economy & Growth,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,0.0069516
Economy & Growth,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.006885267
Gender,"Age population, age 16, female, interpolated",SP.POP.AG16.FE.IN,0.006765152
Private Sector,Firms offering formal training (% of firms),IC.FRM.TRNG.ZS,0.006601209
Aid Effectiveness,"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,0.006544156
Public Sector,Control of Corruption: Standard Error,CC.STD.ERR,0.00644854
Environment,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,0.006385156
Health,"Population, female",SP.POP.TOTL.FE.IN,0.006277431
Gender,"Population ages 40-44, male",SP.POP.4044.MA,0.006175044
Gender,"Age population, age 00, female, interpolated",SP.POP.AG00.FE.IN,0.006173765
Health,"Prevalence of severe wasting, weight for height, female (% of children under 5)",SH.SVR.WAST.FE.ZS,0.006144128
Economy & Growth,Number of people pushed below the 60% median consumption poverty line by out-of-pocket health care expenditure,SH.UHC.NOPR.TO,0.005952332
Agriculture & Rural Development,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,0.005616969
Health,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,0.005594471
Social Development,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,0.00541069
Aid Effectiveness,"Net bilateral aid flows from DAC donors, France (current US$)",DC.DAC.FRAL.CD,0.005383853
Gender,"Population ages 25-29, female",SP.POP.2529.FE,0.005360618
Health,"Number of infant deaths, male",SH.DTH.IMRT.MA,0.005226092
Poverty,"Multidimensional poverty headcount ratio, male (% of male population)",SI.POV.MDIM.MA,0.005178492
Gender,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,0.005072645
Gender,"Population ages 70-74, female",SP.POP.7074.FE,0.004949279
Health,Children (0-14) living with HIV,SH.HIV.0014,0.004810512
Health,Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,0.004803766
Infrastructure,"Trademark applications, resident, by count",IP.TMK.RSCT,0.004674885
Climate Change,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,0.004592248
Health,"Contraceptive prevalence, any method (% of all women ages 15-49)",SP.DYN.CONU.AL.ZS,0.004476949
Poverty,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,0.004476941
Public Sector,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,0.00446865
Economy & Growth,"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,0.004259133
Economy & Growth,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,0.004187503
Gender,"Age population, age 00, male, interpolated",SP.POP.AG00.MA.IN,0.004133621
External Debt,"Net financial flows, others (NFL, current US$)",DT.NFL.MOTH.CD,0.004066945
Gender,"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,0.003932148
Environment,Total fisheries production (metric tons),ER.FSH.PROD.MT,0.003912038
Public Sector,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,0.003910877
Gender,"Number of deaths ages 5-9 years, male",SH.DTH.0509.MA,0.003909464
Private Sector,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,0.003860285
Private Sector,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,0.003799603
Gender,Number of people who are undernourished,SN.ITK.DEFC,0.00379749
Gender,"Age population, age 17, male, interpolated",SP.POP.AG17.MA.IN,0.00372982
Gender,"Population ages 35-39, female",SP.POP.3539.FE,0.00366321
Health,"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,0.00362964
Social Development,"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,0.003586113
Gender,"Number of deaths ages 5-9 years, female",SH.DTH.0509.FE,0.003552368
Education,"Secondary education, teachers, female",SE.SEC.TCHR.FE,0.003547058
Gender,"Age population, age 06, male, interpolated",SP.POP.AG06.MA.IN,0.003404494
Economy & Growth,Number of people pushed or further pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.TOT2.TO,0.003304969
Infrastructure,"Industrial design applications, resident, by count",IP.IDS.RSCT,0.003262634
Health,"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,0.003242336
Health,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,0.003169088
Environment,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,0.00313125
Climate Change,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,0.003092624
Economy & Growth,Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,0.003074764
Health,Age dependency ratio (% of working-age population),SP.POP.DPND,0.00303346
Social Development,Coverage of social protection and labor programs (% of population),per_allsp.cov_pop_tot,0.003005396
Economy & Growth,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,0.002939179
Economy & Growth,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,0.002883298
External Debt,Multilateral debt service (% of public and publicly guaranteed debt service),DT.TDS.MLAT.PG.ZS,0.00284262
Agriculture & Rural Development,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.002831645
Private Sector,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,0.002828164
Social Development,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,0.002788457
Health,"Contraceptive prevalence, any modern method (% of sexually active unmarried women ages 15-49)",SP.DYN.CONM.SA.ZS,0.002758584
External Debt,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,0.002691659
Health,"Condom use at last high-risk sex, adult female (% ages 15-49)",SH.CON.AIDS.FE.ZS,0.00265051
Private Sector,"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS,0.002584183
Gender,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,0.002576284
Health,Prevalence of overweight (% of children under 5),SH.STA.OWGH.ZS,0.002522748
Energy & Mining,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.002518674
Economy & Growth,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.002512781
Health,"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, male (2 prevent ways and reject 3 misconceptions)",SH.HIV.1524.KW.MA.ZS,0.002493721
Economy & Growth,"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,0.002441102
Public Sector,Government Effectiveness: Percentile Rank,GE.PER.RNK,0.00241058
Public Sector,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,0.002403058
Infrastructure,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.002402114
Social Development,"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",SL.SLF.0714.FE.ZS,0.002401865
Health,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,0.002313399
Environment,Forest area (sq. km),AG.LND.FRST.K2,0.002295732
Environment,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,0.002185263
Social Development,Coverage of social insurance programs in richest quintile (% of population),per_si_allsi.cov_q5_tot,0.002132811
Economy & Growth,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,0.002046118
Aid Effectiveness,"Net bilateral aid flows from DAC donors, Netherlands (current US$)",DC.DAC.NLDL.CD,0.002044521
Health,"Mortality caused by road traffic injury, female (per 100,000 female population)",SH.STA.TRAF.FE.P5,0.002034213
Gender,"Prevalence of underweight, weight for age, male (% of children under 5)",SH.STA.MALN.MA.ZS,0.002030439
Environment,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.002023572
Health,"Mortality rate attributed to household and ambient air pollution (per 100,000 population)",SH.STA.AIRP.P5,0.001952543
Economy & Growth,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,0.001951239
Private Sector,"Time to import, border compliance (hours)",IC.IMP.TMBC,0.001924953
Public Sector,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,0.001889458
Health,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,0.001873636
Science & Technology,"Patent applications, residents",IP.PAT.RESD,0.001858059
External Debt,"Present value of external debt (% of exports of goods, services and primary income)",DT.DOD.PVLX.EX.ZS,0.001837839
Financial Sector,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,0.001837545
Health,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,0.001769973
Health,"Treatment for hypertension, male (% of male adults ages 30-79 with hypertension)",SH.HTN.TRET.MA.ZS,0.001705552
Environment,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0.001702535
Economy & Growth,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,0.001701524
Gender,"Age population, age 11, female, interpolated",SP.POP.AG11.FE.IN,0.001696564
Gender,"Age dependency ratio, young",SP.POP.DPND.YG,0.001681907
Economy & Growth,Gross domestic savings (current LCU),NY.GDS.TOTL.CN,0.001644432
Gender,Pregnant women receiving prenatal care (%),SH.STA.ANVC.ZS,0.001621807
Environment,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,0.001611365
Health,"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,0.00156101
Gender,"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN,0.001556058
Social Development,"Children in employment, self-employed (% of children in employment, ages 7-14)",SL.SLF.0714.ZS,0.00155603
Health,"Number of deaths ages 10-19 years, male",SH.DTH.1019.MA,0.001535047
Private Sector,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,0.001516348
Economy & Growth,Share of women employed in the nonagricultural sector (% of total nonagricultural employment),SL.EMP.INSV.FE.ZS,0.001508255
Health,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,0.001466056
Education,"Pupil-teacher ratio, preprimary",SE.PRE.ENRL.TC.ZS,0.001465993
Health,"Treatment for hypertension, female (% of female adults ages 30-79 with hypertension)",SH.HTN.TRET.FE.ZS,0.001448718
Health,"Number of infant deaths, female",SH.DTH.IMRT.FE,0.001439651
Economy & Growth,Chemicals (% of value added in manufacturing),NV.MNF.CHEM.ZS.UN,0.001383342
Health,"Tuberculosis death rate (per 100,000 people)",SH.TBS.MORT,0.001379746
Private Sector,"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS,0.001368553
Economy & Growth,Households and NPISHs Final consumption expenditure (annual % growth),NE.CON.PRVT.KD.ZG,0.0013685
Gender,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,0.001368013
Economy & Growth,Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure,SH.UHC.OOPC.25.TO,0.001365157
Gender,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,0.001360747
Economy & Growth,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,0.001355286
Social Development,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,0.001345146
Health,Number of neonatal deaths,SH.DTH.NMRT,0.001334821
Gender,"Population ages 55-59, female",SP.POP.5559.FE,0.001323178
Economy & Growth,Number of people pushed or further pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.TOT1.TO,0.001289451
Gender,"Age population, age 10, male, interpolated",SP.POP.AG10.MA.IN,0.001274597
Health,International migrant stock (% of population),SM.POP.TOTL.ZS,0.001250624
Social Development,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS,0.001238371
Health,"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB,0.001229471
Climate Change,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,0.001225271
Health,"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,0.00120456
Public Sector,Compensation of employees (% of expense),GC.XPN.COMP.ZS,0.001201569
Environment,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,0.001182282
Climate Change,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,0.001129595
Health,External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,0.001127577
Environment,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS,0.001114224
Environment,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,0.001108214
Energy & Mining,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,0.001085878
Environment,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,0.001076104
Economy & Growth,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,0.001058104
Gender,"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,0.001057826
Gender,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,0.001037775
Environment,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,0.001027212
Gender,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,0.000996595
Health,"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,0.000980796
Public Sector,Compensation of employees (current LCU),GC.XPN.COMP.CN,0.000952448
Health,"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD,0.00092468
Economy & Growth,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,0.000869587
Poverty,Income share held by highest 10%,SI.DST.10TH.10,0.000865997
Economy & Growth,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,0.000819171
Social Development,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,0.000796355
External Debt,"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,0.000784444
Health,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,0.000769898
External Debt,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,0.000738773
Aid Effectiveness,"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD,0.000736533
Gender,"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN,0.000733043
Gender,"Prevalence of current tobacco use, males (% of male adults)",SH.PRV.SMOK.MA,0.000728174
External Debt,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,0.000716775
Science & Technology,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,0.000697106
External Debt,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,0.000642049
External Debt,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,0.00063959
Economy & Growth,Number of people pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.NOP2.TO,0.000634002
Education,"Pupil-teacher ratio, upper secondary",SE.SEC.ENRL.UP.TC.ZS,0.000630716
Gender,"Population ages 35-39, male",SP.POP.3539.MA,0.000620256
Economy & Growth,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,0.000616652
Public Sector,Other taxes (current LCU),GC.TAX.OTHR.CN,0.000597691
Economy & Growth,"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,0.000597396
Environment,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,0.000594266
Economy & Growth,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,0.000556617
Health,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,0.000551776
Health,"Prevalence of wasting, weight for height, male (% of children under 5)",SH.STA.WAST.MA.ZS,0.000539857
Infrastructure,"Air transport, passengers carried",IS.AIR.PSGR,0.000533342
Environment,"People using at least basic drinking water services, rural (% of rural population)",SH.H2O.BASW.RU.ZS,0.000502955
Health,"Prevalence of hypertension, female (% of female adults ages 30-79)",SH.HTN.PREV.FE.ZS,0.000498135
Social Development,"Children in employment, wage workers, female (% of female children in employment, ages 7-14)",SL.WAG.0714.FE.ZS,0.000429963
Economy & Growth,Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,0.000413806
Health,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,0.000396958
