,Category,Series Name,Series Code
994,Social Development,"Labor force with intermediate education, female (% of female working-age population with intermediate education)",SL.TLF.INTM.FE.ZS
1016,Social Development,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS
1043,Social Development,"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS
1062,Social Development,Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),per_lm_alllm.ben_q1_tot
1070,Social Development,"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM
1071,Social Development,"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",SL.FAM.0714.MA.ZS
1089,Social Development,"Average working hours of children, study and work, male, ages 7-14 (hours per week)",SL.TLF.0714.SW.MA.TM
1096,Social Development,"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS
1106,Social Development,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD
1108,Social Development,"Children in employment, wage workers (% of children in employment, ages 7-14)",SL.WAG.0714.ZS
1111,Social Development,"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS
1118,Social Development,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS
1126,Social Development,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS
1135,Social Development,"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS
1150,Social Development,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS
1152,Social Development,"Average working hours of children, study and work, female, ages 7-14 (hours per week)",SL.TLF.0714.SW.FE.TM
1194,Social Development,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS
1225,Social Development,"Labor force with intermediate education, male (% of male working-age population with intermediate education)",SL.TLF.INTM.MA.ZS
1235,Social Development,"Average working hours of children, working only, female, ages 7-14 (hours per week)",SL.TLF.0714.WK.FE.TM
1247,Social Development,"Average working hours of children, study and work, ages 7-14 (hours per week)",SL.TLF.0714.SW.TM
1257,Social Development,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS
1266,Social Development,"Average working hours of children, working only, male, ages 7-14 (hours per week)",SL.TLF.0714.WK.MA.TM
1272,Social Development,Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),per_sa_allsa.ben_q1_tot
1273,Social Development,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS
1277,Social Development,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS
1280,Social Development,Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),per_allsp.ben_q1_tot
1302,Social Development,Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),per_si_allsi.ben_q1_tot
1331,Social Development,"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS
1336,Social Development,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS
1363,Social Development,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS
1375,Social Development,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS
1410,Social Development,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS
1421,Social Development,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS
1432,Social Development,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",SL.UEM.INTM.FE.ZS
1448,Social Development,"Share of youth not in education, employment or training, male (% of male youth population)",SL.UEM.NEET.MA.ZS
1479,Social Development,Child employment in services (% of economically active children ages 7-14),SL.SRV.0714.ZS
1495,Social Development,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS
1531,Social Development,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS
1536,Social Development,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS
1562,Social Development,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS
1581,Social Development,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS
1585,Social Development,"Labor force with advanced education, female (% of female working-age population with advanced education)",SL.TLF.ADVN.FE.ZS
1609,Social Development,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS
1670,Social Development,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS
