,Category,Series Name,Series Code
1274,Private Sector,Logistics performance index: Competence and quality of logistics services (1=low to 5=high),LP.LPI.LOGS.XQ
1285,Private Sector,Time to resolve insolvency (years),IC.ISV.DURS
1289,Private Sector,Firms that do not report all sales for tax purposes (% of firms),IC.FRM.INFM.ZS
1290,Private Sector,"Lead time to export, median case (days)",LP.EXP.DURS.MD
1291,Private Sector,Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS
1309,Private Sector,Time to prepare and pay taxes (hours),IC.TAX.DURS
1311,Private Sector,Tax payments (number),IC.TAX.PAYM
1314,Private Sector,Time required to start a business (days),IC.REG.DURS
1325,Private Sector,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD
1327,Private Sector,Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS
1332,Private Sector,Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),TM.VAL.MRCH.R2.ZS
1339,Private Sector,"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS
1357,Private Sector,"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS
1360,Private Sector,"Tariff rate, applied, weighted mean, primary products (%)",TM.TAX.TCOM.WM.AR.ZS
1369,Private Sector,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS
1373,Private Sector,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS
1378,Private Sector,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS
1386,Private Sector,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT
1388,Private Sector,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS
1390,Private Sector,Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN
1393,Private Sector,Commercial service imports (current US$),TM.VAL.SERV.CD.WT
1394,Private Sector,Time required to register property (days),IC.PRP.DURS
1398,Private Sector,"Tariff rate, applied, simple mean, manufactured products (%)",TM.TAX.MANF.SM.AR.ZS
1404,Private Sector,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS
1418,Private Sector,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS
1426,Private Sector,Firms experiencing electrical outages (% of firms),IC.ELC.OUTG.ZS
1429,Private Sector,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN
1430,Private Sector,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS
1450,Private Sector,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS
1456,Private Sector,Firms visited or required meetings with tax officials (% of firms),IC.FRM.METG.ZS
1471,Private Sector,Firms that spend on R&D (% of firms),IC.FRM.RSDV.ZS
1473,Private Sector,"Time required to start a business, male (days)",IC.REG.DURS.MA
1483,Private Sector,Firms competing against unregistered firms (% of firms),IC.FRM.CMPU.ZS
1486,Private Sector,"Start-up procedures to register a business, male (number)",IC.REG.PROC.MA
1488,Private Sector,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN
1489,Private Sector,"Time to export, border compliance (hours)",IC.EXP.TMBC
1492,Private Sector,"Tariff rate, most favored nation, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.FN.ZS
1499,Private Sector,"Bound rate, simple mean, manufactured products (%)",TM.TAX.MANF.BR.ZS
1505,Private Sector,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD
1510,Private Sector,New businesses registered (number),IC.BUS.NREG
1512,Private Sector,"Tariff rate, most favored nation, simple mean, manufactured products (%)",TM.TAX.MANF.SM.FN.ZS
1521,Private Sector,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS
1527,Private Sector,High-technology exports (current US$),TX.VAL.TECH.CD
1535,Private Sector,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS
1547,Private Sector,Firms using banks to finance working capital (% of firms),IC.FRM.BKWC.ZS
1554,Private Sector,Travel services (% of commercial service imports),TM.VAL.TRVL.ZS.WT
1568,Private Sector,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),LP.LPI.CUST.XQ
1574,Private Sector,Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),LP.LPI.TIME.XQ
1578,Private Sector,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ
1582,Private Sector,Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),TM.VAL.MRCH.R3.ZS
1599,Private Sector,Logistics performance index: Overall (1=low to 5=high),LP.LPI.OVRL.XQ
1620,Private Sector,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD
1634,Private Sector,Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),LP.LPI.ITRN.XQ
1643,Private Sector,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT
1649,Private Sector,Firms expected to give gifts in meetings with tax officials (% of firms),IC.TAX.GIFT.ZS
