,Series Name,Series Code
133,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS
134,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS
135,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS
136,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS
137,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS
138,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD
139,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD
140,Export value index (2015 = 100),TX.VAL.MRCH.XD.WD
141,Export volume index (2015 = 100),TX.QTY.MRCH.XD.WD
142,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS
143,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG
144,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD
145,Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD
146,Exports of goods and services (current LCU),NE.EXP.GNFS.CN
147,Exports of goods and services (current US$),NE.EXP.GNFS.CD
148,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD
149,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS
150,External balance on goods and services (current LCU),NE.RSB.GNFS.CN
151,External balance on goods and services (current US$),NE.RSB.GNFS.CD
152,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS
153,External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD
154,"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD
155,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN
156,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS
157,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS
158,Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG
159,Final consumption expenditure (constant 2015 US$),NE.CON.TOTL.KD
160,Final consumption expenditure (current LCU),NE.CON.TOTL.CN
161,Final consumption expenditure (current US$),NE.CON.TOTL.CD
162,Fixed broadband subscriptions,IT.NET.BBND
163,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2
164,Fixed telephone subscriptions,IT.MLT.MAIN
165,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2
166,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN
167,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN
168,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD
169,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD
170,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS
171,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD
172,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS
173,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD
174,Forest area (% of land area),AG.LND.FRST.ZS
175,Forest area (sq. km),AG.LND.FRST.K2
176,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS
177,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN
178,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN
179,GDP (constant 2015 US$),NY.GDP.MKTP.KD
180,GDP (constant LCU),NY.GDP.MKTP.KN
181,GDP (current LCU),NY.GDP.MKTP.CN
182,GDP (current US$),NY.GDP.MKTP.CD
183,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS
184,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD
185,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
186,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD
187,GDP per capita (constant LCU),NY.GDP.PCAP.KN
188,GDP per capita (current LCU),NY.GDP.PCAP.CN
189,GDP per capita (current US$),NY.GDP.PCAP.CD
190,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG
191,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD
192,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD
193,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD
194,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD
195,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD
196,GDP: linked series (current LCU),NY.GDP.MKTP.CN.AD
197,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS
198,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG
199,General government final consumption expenditure (constant 2015 US$),NE.CON.GOVT.KD
200,General government final consumption expenditure (current LCU),NE.CON.GOVT.CN
201,General government final consumption expenditure (current US$),NE.CON.GOVT.CD
202,GNI (constant 2015 US$),NY.GNP.MKTP.KD
203,GNI (current LCU),NY.GNP.MKTP.CN
204,GNI (current US$),NY.GNP.MKTP.CD
205,GNI growth (annual %),NY.GNP.MKTP.KD.ZG
206,GNI per capita (constant 2015 US$),NY.GNP.PCAP.KD
207,GNI per capita (current LCU),NY.GNP.PCAP.CN
208,GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG
209,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD
210,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD
211,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD
212,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD
213,"GNI, PPP (constant 2017 international $)",NY.GNP.MKTP.PP.KD
214,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD
215,GNI: linked series (current LCU),NY.GNP.MKTP.CN.AD
216,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD
217,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD
218,Government Effectiveness: Estimate,GE.EST
219,Government Effectiveness: Number of Sources,GE.NO.SRC
220,Government Effectiveness: Percentile Rank,GE.PER.RNK
221,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER
222,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER
223,Government Effectiveness: Standard Error,GE.STD.ERR
224,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
225,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS
226,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS
227,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG
228,Gross capital formation (constant 2015 US$),NE.GDI.TOTL.KD
229,Gross capital formation (current LCU),NE.GDI.TOTL.CN
230,Gross capital formation (current US$),NE.GDI.TOTL.CD
231,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS
232,Gross domestic savings (current LCU),NY.GDS.TOTL.CN
233,Gross domestic savings (current US$),NY.GDS.TOTL.CD
234,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS
235,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG
236,Gross fixed capital formation (constant 2015 US$),NE.GDI.FTOT.KD
237,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD
238,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS
239,Gross national expenditure (constant 2015 US$),NE.DAB.TOTL.KD
240,Gross national expenditure (current LCU),NE.DAB.TOTL.CN
241,Gross national expenditure (current US$),NE.DAB.TOTL.CD
242,Gross savings (% of GDP),NY.GNS.ICTR.ZS
243,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS
244,Gross value added at basic prices (GVA) (constant 2015 US$),NY.GDP.FCST.KD
245,Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN
246,Gross value added at basic prices (GVA) (current LCU),NY.GDP.FCST.CN
247,Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD
248,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS
249,Households and NPISHs Final consumption expenditure (annual % growth),NE.CON.PRVT.KD.ZG
250,Households and NPISHs Final consumption expenditure (constant 2015 US$),NE.CON.PRVT.KD
251,Households and NPISHs Final consumption expenditure (current LCU),NE.CON.PRVT.CN
252,Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD
253,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD
254,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG
255,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD
256,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD
257,Households and NPISHs final consumption expenditure: linked series (current LCU),NE.CON.PRVT.CN.AD
258,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN
259,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN
260,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS
261,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD
262,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT
263,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB
264,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS
265,Import unit value index (2015 = 100),TM.UVI.MRCH.XD.WD
266,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD
267,Import volume index (2015 = 100),TM.QTY.MRCH.XD.WD
268,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS
269,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG
270,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD
271,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD
272,Imports of goods and services (current LCU),NE.IMP.GNFS.CN
273,Imports of goods and services (current US$),NE.IMP.GNFS.CD
274,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD
275,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD
276,Individuals using the Internet (% of population),IT.NET.USER.ZS
277,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS
278,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG
279,"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD
280,"Industry (including construction), value added (constant LCU)",NV.IND.TOTL.KN
281,"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN
282,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD
283,"Industry (including construction), value added per worker (constant 2015 US$)",NV.IND.EMPL.KD
284,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
285,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG
286,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD
287,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT
288,Insurance and financial services (% of commercial service imports),TM.VAL.INSF.ZS.WT
289,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS
290,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS
291,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS
292,"International tourism, expenditures (current US$)",ST.INT.XPND.CD
293,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD
294,"International tourism, number of arrivals",ST.INT.ARVL
295,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS
296,"International tourism, receipts (current US$)",ST.INT.RCPT.CD
297,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD
298,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS
299,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS
300,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS
301,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS
302,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS
303,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS
304,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS
305,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS
306,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS
307,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS
308,"Labor force, total",SL.TLF.TOTL.IN
309,Labor tax and contributions (% of commercial profits),IC.TAX.LABR.CP.ZS
310,Land area (sq. km),AG.LND.TOTL.K2
311,Land under cereal production (hectares),AG.LND.CREL.HA
312,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN
313,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN
314,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN
315,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS
316,Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK
317,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD
318,Low-birthweight babies (% of births),SH.STA.BRTW.ZS
319,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS
320,Lower secondary school starting age (years),SE.SEC.AGES
321,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN
322,Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN
323,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS
324,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG
325,"Manufacturing, value added (constant 2015 US$)",NV.IND.MANF.KD
326,"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN
327,"Manufacturing, value added (current LCU)",NV.IND.MANF.CN
328,"Manufacturing, value added (current US$)",NV.IND.MANF.CD
329,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT
330,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT
331,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD
332,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS
333,Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS
334,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS
335,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS
336,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS
337,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS
338,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS
339,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS
340,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS
341,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS
342,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT
343,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD
344,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS
345,Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS
346,Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS
347,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS
348,Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),TM.VAL.MRCH.R2.ZS
349,Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),TM.VAL.MRCH.R3.ZS
350,Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),TM.VAL.MRCH.R4.ZS
351,Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS
352,Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),TM.VAL.MRCH.R6.ZS
353,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),TM.VAL.MRCH.OR.ZS
354,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS
355,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE
356,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE
357,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS
358,Military expenditure (% of general government expenditure),MS.MIL.XPND.ZS
359,Military expenditure (current USD),MS.MIL.XPND.CD
360,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS
361,Mobile cellular subscriptions,IT.CEL.SETS
362,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2
