,Category,Series Name,Series Code
140,Public Sector,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ
141,Economy & Growth,"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN
142,Economy & Growth,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD
143,Gender,"Age population, age 00, male, interpolated",SP.POP.AG00.MA.IN
144,External Debt,"Net financial flows, others (NFL, current US$)",DT.NFL.MOTH.CD
145,Gender,"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN
146,Environment,Total fisheries production (metric tons),ER.FSH.PROD.MT
147,Public Sector,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL
148,Gender,"Number of deaths ages 5-9 years, male",SH.DTH.0509.MA
149,Private Sector,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS
150,Private Sector,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS
151,Gender,Number of people who are undernourished,SN.ITK.DEFC
152,Gender,"Age population, age 17, male, interpolated",SP.POP.AG17.MA.IN
153,Gender,"Population ages 35-39, female",SP.POP.3539.FE
154,Health,"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3
155,Social Development,"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS
156,Gender,"Number of deaths ages 5-9 years, female",SH.DTH.0509.FE
157,Education,"Secondary education, teachers, female",SE.SEC.TCHR.FE
158,Gender,"Age population, age 06, male, interpolated",SP.POP.AG06.MA.IN
159,Economy & Growth,Number of people pushed or further pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.TOT2.TO
160,Infrastructure,"Industrial design applications, resident, by count",IP.IDS.RSCT
161,Health,"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5
162,Health,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS
163,Environment,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS
164,Climate Change,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT
165,Economy & Growth,Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC
166,Health,Age dependency ratio (% of working-age population),SP.POP.DPND
167,Social Development,Coverage of social protection and labor programs (% of population),per_allsp.cov_pop_tot
168,Economy & Growth,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS
169,Economy & Growth,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS
170,External Debt,Multilateral debt service (% of public and publicly guaranteed debt service),DT.TDS.MLAT.PG.ZS
171,Agriculture & Rural Development,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS
172,Private Sector,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN
173,Social Development,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS
174,Health,"Contraceptive prevalence, any modern method (% of sexually active unmarried women ages 15-49)",SP.DYN.CONM.SA.ZS
175,External Debt,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS
176,Health,"Condom use at last high-risk sex, adult female (% ages 15-49)",SH.CON.AIDS.FE.ZS
177,Private Sector,"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS
178,Gender,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS
179,Health,Prevalence of overweight (% of children under 5),SH.STA.OWGH.ZS
180,Energy & Mining,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS
181,Economy & Growth,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD
182,Health,"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, male (2 prevent ways and reject 3 misconceptions)",SH.HIV.1524.KW.MA.ZS
183,Economy & Growth,"Manufacturing, value added (current LCU)",NV.IND.MANF.CN
184,Public Sector,Government Effectiveness: Percentile Rank,GE.PER.RNK
185,Public Sector,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER
186,Infrastructure,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1
187,Social Development,"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",SL.SLF.0714.FE.ZS
188,Health,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS
189,Environment,Forest area (sq. km),AG.LND.FRST.K2
190,Environment,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD
191,Social Development,Coverage of social insurance programs in richest quintile (% of population),per_si_allsi.cov_q5_tot
192,Economy & Growth,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD
193,Aid Effectiveness,"Net bilateral aid flows from DAC donors, Netherlands (current US$)",DC.DAC.NLDL.CD
194,Health,"Mortality caused by road traffic injury, female (per 100,000 female population)",SH.STA.TRAF.FE.P5
195,Gender,"Prevalence of underweight, weight for age, male (% of children under 5)",SH.STA.MALN.MA.ZS
196,Environment,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH
197,Health,"Mortality rate attributed to household and ambient air pollution (per 100,000 population)",SH.STA.AIRP.P5
198,Economy & Growth,"Manufacturing, value added (current US$)",NV.IND.MANF.CD
199,Private Sector,"Time to import, border compliance (hours)",IC.IMP.TMBC
200,Public Sector,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK
201,Health,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS
202,Science & Technology,"Patent applications, residents",IP.PAT.RESD
203,External Debt,"Present value of external debt (% of exports of goods, services and primary income)",DT.DOD.PVLX.EX.ZS
204,Financial Sector,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS
205,Health,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD
206,Health,"Treatment for hypertension, male (% of male adults ages 30-79 with hypertension)",SH.HTN.TRET.MA.ZS
207,Environment,People practicing open defecation (% of population),SH.STA.ODFC.ZS
208,Economy & Growth,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD
209,Gender,"Age population, age 11, female, interpolated",SP.POP.AG11.FE.IN
210,Gender,"Age dependency ratio, young",SP.POP.DPND.YG
211,Economy & Growth,Gross domestic savings (current LCU),NY.GDS.TOTL.CN
212,Gender,Pregnant women receiving prenatal care (%),SH.STA.ANVC.ZS
213,Environment,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3
214,Health,"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5
215,Gender,"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN
216,Social Development,"Children in employment, self-employed (% of children in employment, ages 7-14)",SL.SLF.0714.ZS
217,Health,"Number of deaths ages 10-19 years, male",SH.DTH.1019.MA
218,Private Sector,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS
219,Economy & Growth,Share of women employed in the nonagricultural sector (% of total nonagricultural employment),SL.EMP.INSV.FE.ZS
220,Health,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3
221,Education,"Pupil-teacher ratio, preprimary",SE.PRE.ENRL.TC.ZS
222,Health,"Treatment for hypertension, female (% of female adults ages 30-79 with hypertension)",SH.HTN.TRET.FE.ZS
223,Health,"Number of infant deaths, female",SH.DTH.IMRT.FE
224,Economy & Growth,Chemicals (% of value added in manufacturing),NV.MNF.CHEM.ZS.UN
225,Health,"Tuberculosis death rate (per 100,000 people)",SH.TBS.MORT
226,Private Sector,"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS
227,Economy & Growth,Households and NPISHs Final consumption expenditure (annual % growth),NE.CON.PRVT.KD.ZG
228,Gender,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS
229,Economy & Growth,Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure,SH.UHC.OOPC.25.TO
230,Gender,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS
231,Economy & Growth,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS
232,Social Development,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS
233,Health,Number of neonatal deaths,SH.DTH.NMRT
234,Gender,"Population ages 55-59, female",SP.POP.5559.FE
235,Economy & Growth,Number of people pushed or further pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.TOT1.TO
236,Gender,"Age population, age 10, male, interpolated",SP.POP.AG10.MA.IN
237,Health,International migrant stock (% of population),SM.POP.TOTL.ZS
238,Social Development,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS
239,Health,"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB
240,Climate Change,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ
241,Health,"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS
242,Public Sector,Compensation of employees (% of expense),GC.XPN.COMP.ZS
243,Environment,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS
244,Climate Change,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS
245,Health,External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD
246,Environment,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS
247,Environment,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS
248,Energy & Mining,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS
249,Environment,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD
250,Economy & Growth,Imports of goods and services (current LCU),NE.IMP.GNFS.CN
251,Gender,"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS
252,Gender,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE
253,Environment,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE
254,Gender,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA
255,Health,"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y
256,Public Sector,Compensation of employees (current LCU),GC.XPN.COMP.CN
257,Health,"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD
258,Economy & Growth,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS
259,Poverty,Income share held by highest 10%,SI.DST.10TH.10
260,Economy & Growth,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS
261,Social Development,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot
262,External Debt,"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD
263,Health,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y
264,External Debt,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS
265,Aid Effectiveness,"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD
266,Gender,"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN
267,Gender,"Prevalence of current tobacco use, males (% of male adults)",SH.PRV.SMOK.MA
268,External Debt,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD
269,Science & Technology,Technicians in R&D (per million people),SP.POP.TECH.RD.P6
270,External Debt,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD
271,External Debt,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD
272,Economy & Growth,Number of people pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.NOP2.TO
273,Education,"Pupil-teacher ratio, upper secondary",SE.SEC.ENRL.UP.TC.ZS
274,Gender,"Population ages 35-39, male",SP.POP.3539.MA
275,Economy & Growth,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS
276,Public Sector,Other taxes (current LCU),GC.TAX.OTHR.CN
277,Economy & Growth,"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD
278,Environment,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS
279,Economy & Growth,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD
280,Health,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL
281,Health,"Prevalence of wasting, weight for height, male (% of children under 5)",SH.STA.WAST.MA.ZS
282,Infrastructure,"Air transport, passengers carried",IS.AIR.PSGR
283,Environment,"People using at least basic drinking water services, rural (% of rural population)",SH.H2O.BASW.RU.ZS
284,Health,"Prevalence of hypertension, female (% of female adults ages 30-79)",SH.HTN.PREV.FE.ZS
285,Social Development,"Children in employment, wage workers, female (% of female children in employment, ages 7-14)",SL.WAG.0714.FE.ZS
286,Economy & Growth,Exports of goods and services (constant LCU),NE.EXP.GNFS.KN
287,Health,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS
288,Health,"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, female (2 prevent ways and reject 3 misconceptions)",SH.HIV.1524.KW.FE.ZS
289,Gender,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS
290,Education,"Lower secondary completion rate, male (% of relevant age group)",SE.SEC.CMPT.LO.MA.ZS
291,Education,"Over-age students, primary, male (% of male enrollment)",SE.PRM.OENR.MA.ZS
292,Economy & Growth,Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD
293,Health,"Probability of dying among youth ages 20-24 years, female (per 1,000)",SH.DYN.2024.FE
294,Health,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS
295,Aid Effectiveness,"Net bilateral aid flows from DAC donors, Czech Republic (current US$)",DC.DAC.CZEL.CD
296,Private Sector,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS
297,Economy & Growth,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD
298,Gender,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS
299,Health,Postnatal care coverage (% mothers),SH.STA.PNVC.ZS
300,Gender,"Children in employment, work only, male (% of male children in employment, ages 7-14)",SL.TLF.0714.WK.MA.ZS
301,Economy & Growth,"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD
302,Environment,"People using at least basic drinking water services, urban (% of urban population)",SH.H2O.BASW.UR.ZS
303,Education,Lower secondary school starting age (years),SE.SEC.AGES
304,Social Development,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot
305,Public Sector,Other expense (current LCU),GC.XPN.OTHR.CN
306,Aid Effectiveness,"Net official flows from UN agencies, UNWTO (current US$)",DT.NFL.UNWT.CD
307,Gender,"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.DO.MA.ZS
308,Economy & Growth,GDP: linked series (current LCU),NY.GDP.MKTP.CN.AD
309,Gender,"Population ages 75-79, female",SP.POP.7579.FE
310,Economy & Growth,Imports of goods and services (constant LCU),NE.IMP.GNFS.KN
311,Education,Male primary school age children out-of-school (%),SE.LPV.PRIM.SD.MA
312,Economy & Growth,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG
